Deviations,EmotionCount,NumberWord,SucRate,Time2ans
10.0,6.0,1.0,1.21,72.41
13.0,0.0,8.0,2.56,12.5
15.0,0.0,3.0,1.12,22.63
5.0,107.0,12.0,2.67,27.85
18.0,87.0,5.0,1.38,26.9
30.0,25.0,2.0,5.0,24.47
2.0,87.0,1.0,6.67,23.36
2.0,55.0,2.0,9.38,13.88
2.0,110.0,1.0,0.08,20.73
0.0,133.0,6.0,4.12,12.52
1.0,187.0,4.0,3.26,17.16
1.0,179.0,7.0,3.94,14.6
7.0,401.0,2.0,2.67,60.44
10.0,81.0,1.0,2.31,20.83
13.0,272.0,4.0,4.29,63.79
3.0,27.0,6.0,5.14,16.23
9.0,2.0,3.0,0.86,27.87
10.0,2.0,3.0,6.52,17.18
0.0,0.0,5.0,4.24,24.32
0.0,0.0,1.0,1.33,20.09
0.0,4.0,11.0,3.77,32.76
0.0,0.0,1.0,5.38,9.16
0.0,0.0,3.0,3.49,18.13
2.0,0.0,8.0,2.17,30.96
3.0,2.0,3.0,5.0,59.46
7.0,1.0,5.0,1.51,29.99
9.0,2.0,4.0,2.65,21.35
10.0,163.0,13.0,2.84,55.38
12.0,91.0,1.0,2.0,18.04
13.0,102.0,1.0,10.0,17.99
4.0,61.0,8.0,4.86,22.37
5.0,116.0,5.0,2.27,14.82
6.0,247.0,2.0,1.48,16.8
8.0,407.0,3.0,1.82,69.53
10.0,263.0,1.0,0.67,30.14
13.0,178.0,1.0,10.0,18.66
0.0,0.0,2.0,1.21,10.99
2.0,55.0,4.0,3.43,17.65
2.0,42.0,1.0,0.0,12.16
4.0,20.0,2.0,4.0,31.78
6.0,0.0,3.0,6.15,14.37
8.0,1.0,2.0,2.5,10.41
0.0,31.0,5.0,3.71,19.01
1.0,41.0,3.0,3.33,19.57
6.0,27.0,2.0,2.86,19.55
7.0,272.0,1.0,2.0,52.38
12.0,326.0,2.0,2.67,39.24
13.0,171.0,1.0,10.0,9.56
1.0,61.0,2.0,10.0,12.86
4.0,162.0,6.0,4.55,36.58
4.0,228.0,2.0,0.86,20.22
0.0,57.0,5.0,4.24,18.8
0.0,82.0,2.0,10.0,14.61
2.0,84.0,2.0,5.19,52.98
3.0,68.0,7.0,3.85,21.04
4.0,17.0,3.0,4.23,13.01
8.0,50.0,7.0,4.0,28.05
2.0,4.0,2.0,2.67,44.24
5.0,0.0,1.0,0.77,13.37
6.0,0.0,1.0,10.0,20.74
4.0,15.0,2.0,1.52,32.61
7.0,75.0,1.0,4.67,16.12
10.0,4.0,2.0,4.67,16.92
5.0,98.0,2.0,2.67,15.97
5.0,109.0,2.0,2.5,21.04
9.0,33.0,1.0,10.0,22.48
2.0,2.0,2.0,1.21,18.17
9.0,43.0,2.0,2.67,27.72
16.0,8.0,1.0,10.0,13.82
0.0,32.0,1.0,5.83,11.49
1.0,149.0,2.0,0.39,27.02
3.0,10.0,2.0,2.67,25.56
3.0,170.0,3.0,6.0,17.31
4.0,206.0,3.0,3.12,15.82
6.0,71.0,2.0,7.14,14.28
4.0,7.0,2.0,10.0,12.04
11.0,26.0,2.0,2.67,19.97
13.0,10.0,1.0,5.83,9.14
1.0,24.0,2.0,10.0,18.43
2.0,31.0,2.0,2.67,17.08
5.0,34.0,5.0,2.5,28.03
3.0,106.0,1.0,1.33,19.27
7.0,85.0,3.0,3.85,13.19
15.0,116.0,6.0,2.63,26.03
3.0,131.0,7.0,4.0,27.29
5.0,103.0,1.0,1.33,13.39
6.0,131.0,11.0,3.89,27.18
1.0,25.0,2.0,10.0,9.71
5.0,28.0,5.0,3.68,13.45
5.0,168.0,3.0,3.16,23.73
0.0,0.0,1.0,1.33,9.13
0.0,0.0,1.0,2.0,14.78
0.0,0.0,1.0,2.0,11.61
2.0,2.0,2.0,10.0,26.78
12.0,2.0,2.0,2.14,36.67
17.0,0.0,2.0,7.33,9.89
13.0,25.0,3.0,1.88,62.75
18.0,0.0,1.0,7.14,8.62
19.0,85.0,2.0,10.0,13.51
1.0,3.0,2.0,10.0,9.99
2.0,2.0,4.0,6.97,13.69
5.0,0.0,3.0,1.78,11.92
4.0,2.0,6.0,2.33,19.2
4.0,0.0,1.0,10.0,10.74
7.0,0.0,2.0,10.0,10.27
3.0,4.0,2.0,10.0,10.53
5.0,6.0,5.0,3.86,23.99
0.0,0.0,8.0,3.92,29.71
1.0,55.0,2.0,10.0,29.79
9.0,8.0,4.0,1.0,21.93
17.0,6.0,8.0,2.53,15.07
5.0,37.0,3.0,2.67,33.15
6.0,0.0,1.0,7.14,7.64
14.0,32.0,2.0,9.33,11.36
5.0,30.0,3.0,2.38,22.3
11.0,0.0,1.0,7.14,14.28
14.0,5.0,2.0,9.33,16.92
